date,open,high,low,close,volume
2025-11-26,8.8,8.94,8.7,8.79,-1.9
2025-11-25,8.79,8.96,8.63,8.96,0.0
2025-11-24,8.65,8.96,8.65,8.96,1.93
2025-11-23,8.61,8.8,8.61,8.79,0.69
2025-11-20,8.68,8.98,8.68,8.73,-0.91
2025-11-19,8.7,8.81,8.53,8.81,0.11
2025-11-18,8.7,8.87,8.7,8.8,-0.79
2025-11-17,8.85,8.92,8.85,8.87,-1.66
2025-11-16,8.69,9.03,8.69,9.02,1.81
2025-11-13,8.91,9.08,8.74,8.86,-0.56
2025-11-12,8.89,9.07,8.76,8.91,0.22
2025-11-11,9.05,9.06,8.88,8.89,-1.11
2025-11-10,8.75,8.99,8.75,8.99,1.58
2025-11-09,8.84,9.02,8.84,8.85,-1.88
2025-11-06,8.8,9.07,8.8,9.02,2.27
2025-11-05,8.75,8.82,8.75,8.82,-0.11
2025-11-04,8.77,8.83,8.77,8.83,-0.79
2025-11-03,9.0,9.0,8.83,8.9,-1.11
2025-11-02,9.0,9.0,9.0,9.0,-1.96
2025-10-30,8.86,9.18,8.86,9.18,3.61
2025-10-29,8.8,8.86,8.8,8.86,0.34
2025-10-28,9.0,9.0,8.81,8.83,-3.07
2025-10-26,9.0,9.11,8.95,9.11,1.9
2025-10-19,8.92,8.94,8.77,8.94,-1.76
2025-10-16,8.89,9.1,8.85,9.1,0.44
2025-10-15,8.76,9.07,8.76,9.06,1.8
2025-10-14,9.05,9.05,8.87,8.9,0.0
2025-10-13,8.82,8.9,8.65,8.9,-1.11
2025-10-12,9.22,9.22,9.0,9.0,-4.26
2025-10-09,9.08,9.4,9.08,9.4,1.62
2025-10-08,9.25,9.25,8.89,9.25,1.98
2025-10-07,9.6,9.6,9.07,9.07,-7.35
2025-09-28,9.02,9.79,8.8,9.79,10.0
2025-09-25,8.81,8.97,8.81,8.9,0.56
2025-09-24,8.8,8.91,8.79,8.85,-1.23
2025-09-23,8.8,8.96,8.8,8.96,0.0
2025-09-21,8.94,9.0,8.8,8.96,-1.75
2025-09-08,9.0,9.3,9.0,9.12,1.33
2025-09-07,8.75,9.15,8.75,9.0,2.04
2025-09-04,8.92,8.92,8.8,8.82,-3.08
2025-09-03,8.68,9.28,8.68,9.1,2.94
2025-09-02,8.95,9.01,8.69,8.84,-2.0
2025-09-01,8.85,9.2,8.7,9.02,0.22
2025-08-31,9.81,9.81,9.0,9.0,-10.0
2025-08-28,10.0,10.0,10.0,10.0,0.0
