date,open,high,low,close,symbol
2024-01-08,309.2,340.1,309.2,340.1,HRL
2024-01-09,346.9,374.1,346.9,374.1,HRL
2024-01-10,381.5,411.5,381.5,411.5,HRL
2024-01-11,419.7,452.6,419.7,452.6,HRL
2024-01-14,461.6,497.8,461.6,497.8,HRL
2024-01-16,507.7,547.5,507.7,547.5,HRL
2024-01-17,558.4,602.2,558.4,602.2,HRL
2024-01-18,614.2,661.5,558.0,653.0,HRL
2024-01-21,666.0,709.0,663.0,681.0,HRL
2024-01-22,667.4,675.0,641.0,646.0,HRL
2024-01-23,645.0,681.0,635.0,659.9,HRL
2024-01-24,660.0,674.0,655.0,657.0,HRL
2024-01-25,657.0,661.0,645.1,646.8,HRL
2024-01-28,650.0,659.6,635.1,645.0,HRL
2024-01-29,645.0,684.0,645.0,669.0,HRL
2024-01-30,682.3,721.0,675.8,709.6,HRL
2024-01-31,723.0,728.0,698.0,714.6,HRL
2024-02-01,720.0,722.1,695.0,695.1,HRL
2024-02-04,695.1,700.0,680.0,688.1,HRL
2024-02-05,690.0,700.0,685.1,685.5,HRL
2024-02-06,685.5,708.0,685.5,704.9,HRL
2024-02-07,700.0,714.0,695.2,696.1,HRL
2024-02-08,698.0,709.0,688.0,689.0,HRL
2024-02-11,702.7,731.0,691.0,694.9,HRL
2024-02-12,703.0,704.0,690.0,692.1,HRL
2024-02-13,692.1,692.1,672.0,672.0,HRL
2024-02-14,680.0,680.0,666.5,668.1,HRL
2024-02-15,670.0,674.0,654.8,655.7,HRL
2024-02-18,655.0,666.0,640.1,645.1,HRL
2024-02-20,621.0,652.5,620.0,650.0,HRL
2024-02-21,650.0,662.9,633.1,633.2,HRL
2024-02-22,633.2,637.9,617.6,624.0,HRL
2024-02-25,624.0,632.0,607.5,607.6,HRL
2024-02-26,604.9,616.8,604.9,616.0,HRL
2024-02-27,616.0,620.0,606.0,610.0,HRL
2024-02-28,609.0,620.0,609.0,615.0,HRL
2024-02-29,615.0,620.0,604.9,605.4,HRL
2024-03-03,605.4,613.0,595.2,595.6,HRL
2024-03-04,607.5,652.0,607.5,622.0,HRL
2024-03-05,630.0,633.9,610.0,613.5,HRL
2024-03-06,613.0,631.0,608.1,624.9,HRL
2024-03-07,630.0,634.0,621.0,624.0,HRL
2024-03-10,624.0,630.0,618.0,620.0,HRL
2024-03-12,632.4,635.5,620.0,635.0,HRL
2024-03-13,647.7,650.0,631.1,642.0,HRL
2024-03-14,638.6,644.0,628.0,630.5,HRL
2024-03-17,630.0,635.0,619.0,620.5,HRL
2024-03-18,621.0,630.2,618.0,621.0,HRL
2024-03-19,621.0,629.9,615.0,618.0,HRL
2024-03-20,618.0,627.0,609.0,614.1,HRL
2024-03-21,614.1,618.0,605.0,606.5,HRL
2024-03-25,607.0,613.8,602.0,608.9,HRL
2024-03-26,606.0,613.4,606.0,608.0,HRL
2024-03-27,608.0,611.7,597.0,602.0,HRL
2024-03-28,602.0,610.0,601.0,604.1,HRL
2024-03-31,604.0,607.0,598.5,600.9,HRL
2024-04-01,600.0,603.0,596.1,596.8,HRL
2024-04-02,608.7,608.7,595.1,595.2,HRL
2024-04-03,585.0,609.0,585.0,595.0,HRL
2024-04-04,595.0,596.5,590.0,590.5,HRL
2024-04-07,590.0,598.9,588.0,596.0,HRL
2024-04-09,596.0,624.9,596.0,623.9,HRL
2024-04-10,623.0,634.0,610.0,610.2,HRL
2024-04-14,610.2,618.0,606.2,613.2,HRL
2024-04-15,614.0,620.0,606.2,606.5,HRL
2024-04-16,606.0,607.0,598.2,605.1,HRL
2024-04-18,600.0,606.0,597.2,600.0,HRL
2024-04-21,595.0,607.0,590.0,601.0,HRL
2024-04-22,601.0,607.0,595.0,595.0,HRL
2024-04-24,599.9,600.1,590.0,592.1,HRL
2024-04-25,592.2,596.3,590.7,592.0,HRL
