date,open,high,low,close,symbol
2024-08-18,1078.1,1162.7,1078.1,1162.7,SMPDA
2024-08-21,1185.9,1278.9,1090.0,1099.0,SMPDA
2024-08-22,1120.0,1120.0,1064.0,1078.0,SMPDA
2024-08-25,1056.5,1115.0,1025.0,1040.0,SMPDA
2024-08-27,1024.1,1060.0,998.0,999.9,SMPDA
2024-08-28,1019.8,1020.0,965.0,965.0,SMPDA
2024-08-29,956.5,1003.0,945.7,967.0,SMPDA
2024-09-01,986.3,988.0,926.4,926.4,SMPDA
2024-09-02,926.4,954.5,916.0,954.5,SMPDA
2024-09-03,956.0,1049.0,955.0,1020.0,SMPDA
2024-09-04,1012.0,1072.0,983.0,990.0,SMPDA
2024-09-05,973.0,1023.0,968.0,992.0,SMPDA
2024-09-08,1011.8,1073.0,1000.0,1009.0,SMPDA
2024-09-09,1029.0,1029.0,980.0,989.0,SMPDA
2024-09-10,1004.0,1004.0,967.0,967.3,SMPDA
2024-09-11,967.3,980.0,958.0,975.0,SMPDA
2024-09-12,971.0,986.0,957.1,980.0,SMPDA
2024-09-15,985.0,993.0,951.0,958.0,SMPDA
2024-09-16,941.0,955.0,922.0,923.0,SMPDA
2024-09-18,941.0,941.0,905.0,911.1,SMPDA
2024-09-22,929.0,929.3,897.1,905.0,SMPDA
2024-09-23,895.0,905.0,882.0,882.5,SMPDA
2024-09-24,890.0,890.0,852.0,855.0,SMPDA
2024-09-25,850.0,870.0,842.0,865.0,SMPDA
2024-09-26,865.0,868.0,848.0,848.0,SMPDA
2024-09-29,864.7,870.0,826.0,852.0,SMPDA
2024-09-30,835.0,871.0,835.0,871.0,SMPDA
2024-10-01,875.0,900.0,871.0,900.0,SMPDA
2024-10-02,902.0,915.0,880.0,888.9,SMPDA
2024-10-06,875.5,936.0,855.1,920.0,SMPDA
2024-10-07,938.0,970.0,920.3,940.9,SMPDA
2024-10-08,923.0,938.0,900.0,900.0,SMPDA
2024-10-09,918.0,930.0,882.1,924.0,SMPDA
2024-10-15,910.0,930.0,910.0,928.0,SMPDA
2024-10-16,925.1,997.0,925.0,949.0,SMPDA
2024-10-17,931.0,984.9,931.0,948.0,SMPDA
2024-10-20,929.1,945.0,910.6,921.1,SMPDA
2024-10-21,923.0,935.0,896.0,900.0,SMPDA
2024-10-22,890.0,928.2,890.0,911.0,SMPDA
2024-10-23,929.2,929.2,902.3,910.0,SMPDA
2024-10-24,928.2,928.2,895.1,899.0,SMPDA
2024-10-27,900.0,912.0,887.1,912.0,SMPDA
2024-10-28,928.0,928.0,901.6,904.5,SMPDA
2024-10-29,920.0,932.0,907.0,917.0,SMPDA
2024-10-30,917.0,936.0,917.0,923.0,SMPDA
2024-11-05,934.9,935.0,916.4,929.0,SMPDA
2024-11-06,940.0,942.0,921.1,925.0,SMPDA
2024-11-10,925.0,948.7,918.0,945.0,SMPDA
2024-11-11,926.1,1006.0,926.1,969.0,SMPDA
2024-11-12,975.0,988.5,955.0,955.5,SMPDA
2024-11-13,955.0,958.0,936.0,941.0,SMPDA
2024-11-14,959.8,997.0,931.0,960.0,SMPDA
2024-11-17,975.0,1000.0,961.0,988.0,SMPDA
2024-11-19,1000.0,1000.0,945.8,957.0,SMPDA
2024-11-20,939.3,981.2,939.3,961.6,SMPDA
2024-11-21,942.4,1019.9,942.4,1000.0,SMPDA
2024-11-24,1000.0,1012.9,970.0,992.5,SMPDA
2024-11-25,972.7,997.0,972.7,990.0,SMPDA
2024-11-26,990.0,1000.0,975.1,998.0,SMPDA
2024-11-27,978.1,1060.0,978.1,1035.0,SMPDA
2024-11-28,1054.0,1055.0,1010.0,1025.0,SMPDA
2024-12-01,1004.5,1031.3,995.0,1025.0,SMPDA
2024-12-02,1045.5,1110.0,1015.0,1082.0,SMPDA
